QT	Question
Information	What is it?
Prognosis	What are the chances of his left eye also developing Best disease?
Management	Is there any way to improve his vision?
OtherEffect	Will his vision remain the same or it can it deteriorate?
Information	Can you please help me find more information?
Diagnosis	Do you think she has pseudohypoaldosteronism type II?
PersonOrg	How do you become part of a clinical trial?
Information	Where can we find more information?
Prognosis	Is the outcome good or bad?
Prognosis	Could you tell me how it will affect his life?
Prognosis	What is the outlook for this condition?
Management	Are there other options for treatment?
Information	I am trying to find information regarding this topic.
Information	I am trying to find resources regarding this topic.
OtherEffect	Can you go completely blind from this condition?
Management	Is there any treatment that can help?
Information	Are there any clinical trials for this type of disease?
Information	Are there any research studies for this type of disease?
Prognosis	How long does it take for eye sight to deteriorate?
Information	Can you please provide some basic information on this disease?
Management	Can you please provide some basic information on this disease including treatment?
Prognosis	Can you please provide some basic information on this disease including possible outcomes?
Susceptibility	I want to know the probability that my girlfriend could get this disease.
Susceptibility	I want to know the probability that our children could get this disease.
Susceptibility	What are the chances for our children to have vitiligo?
Information	Can you provide us with some more information about this disease?
Management	Can you provide us with some more information about this disease, particularly how it is treated?
